"","Phase","species","Competition_treatment","pair_code","competitive_rank","sample_size","trait","RII","RII_se","ITV","ITV_se"
"156","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q..chenii","Superior",45,"SSD",-0.00356829219354806,0.0134375762621625,0.104860120243906,NA
"157","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q..chenii.1","Superior",45,"SSD",-0.178300675004185,0.00932755375192629,0.104860120243906,NA
"158","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q..chenii.2","Inferior",45,"SSD",-0.306634081097522,0.0441275758983597,0.104860120243906,NA
"159","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q..chenii.3","Superior",45,"SSD",-0.165569106808909,0.0201398862159319,0.104860120243906,NA
"160","Phase I: pairwise homogeneous experiment","S. superba","Competition-free","S..superba","Inferior",43,"SSD",-0.330327767442783,1.81170829742371,0.317102633682401,NA
"161","Phase I: pairwise homogeneous experiment","C. glauca","Competition-free","C..glauca","Superior",43,"SMC",-0.20061820287413,0.16781646263067,0.181108230964215,NA
"162","Phase I: pairwise homogeneous experiment","C. glauca","Competition-free","C..glauca.1","Superior",43,"SMC",-0.231588784981267,0.347393854155474,0.181108230964215,NA
"163","Phase I: pairwise homogeneous experiment","C. glauca","Competition-free","C..glauca.2","Inferior",43,"SMC",-0.340228733806371,0.979104000661536,0.181108230964215,NA
"164","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition-free","C..myrsinifolia","Inferior",44,"SMC",-0.252084663493536,0.255865653840506,0.194993110203971,NA
"165","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition-free","C..myrsinifolia.1","Inferior",44,"SMC",-0.340023730506761,0.269321832401235,0.194993110203971,NA
"166","Phase I: pairwise homogeneous experiment","C. sclerophylla","Competition-free","C..sclerophylla","Inferior",43,"SMC",-0.235505239615598,1.80093106072393,0.330397183191453,NA
"167","Phase I: pairwise homogeneous experiment","H. acerba","Competition-free","H..acerba","Superior",44,"SMC",-0.0881310486499513,0.0176026628977019,0.330659075505113,NA
"168","Phase I: pairwise homogeneous experiment","H. acerba","Competition-free","H..acerba.1","Superior",44,"SMC",-0.10146734967176,0.0159050770561524,0.330659075505113,NA
"169","Phase I: pairwise homogeneous experiment","L. harlandii","Competition-free","L..harlandii","Superior",41,"SMC",-0.210393280708171,0.908068155612861,0.198745264255803,NA
"170","Phase I: pairwise homogeneous experiment","P. sheareri","Competition-free","P..sheareri","Inferior",42,"SMC",-0.357118072953801,0.0632359079681482,0.214214462426836,NA
"171","Phase I: pairwise homogeneous experiment","P. sheareri","Competition-free","P..sheareri.1","Inferior",42,"SMC",-0.404847094317761,0.358577359984925,0.214214462426836,NA
